param,design,stage,knob_first_stage,verdict,verdict_rank,verdict_code,best_spearman_rho,best_pearson_r,best_metric,matters
ABC_AREA,aes,cts,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,aes,finish,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,aes,floorplan,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,aes,place,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,aes,route,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,aes,synth,synth,param_flat,3,PF,,,cell_count,False
ABC_AREA,gcd,cts,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,gcd,finish,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,gcd,floorplan,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,gcd,place,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,gcd,route,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,gcd,synth,synth,param_flat,3,PF,,,cell_count,False
ABC_AREA,jpeg,cts,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,jpeg,finish,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,jpeg,floorplan,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,jpeg,place,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,jpeg,route,synth,param_flat,3,PF,,,wns_ns,False
ABC_AREA,jpeg,synth,synth,param_flat,3,PF,,,cell_count,False
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,aes,cts,floorplan,moderate,6,M,0.24883220454576058,0.24930842840555678,core_area_um2,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,aes,finish,floorplan,moderate,6,M,-0.24652303699237538,-0.2603601606783894,drc_violations,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,aes,floorplan,floorplan,moderate,6,M,-0.2552915713674692,-0.24206855325940502,utilization_pct,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,aes,place,floorplan,strong,7,S,-0.3119952684118165,-0.3971320601231809,fmax_mhz,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,aes,route,floorplan,moderate,6,M,0.24883220454576058,0.24930842840555678,core_area_um2,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,aes,synth,floorplan,wrong_stage,0,WS,-0.16773080155935002,-0.14182956463416274,cell_count,False
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,gcd,cts,floorplan,weak,5,W,-0.1263429957398716,0.020165220220745565,fmax_mhz,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,gcd,finish,floorplan,strong,7,S,-0.5206734540743045,-0.5249968743216644,utilization_pct,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,gcd,floorplan,floorplan,weak,5,W,-0.09240250365597207,-0.12683141884755197,power_total_w,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,gcd,place,floorplan,weak,5,W,-0.14964450761817755,-0.07703094007014682,fmax_mhz,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,gcd,route,floorplan,strong,7,S,-0.5326392231213251,-0.5335609854573014,utilization_pct,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,gcd,synth,floorplan,wrong_stage,0,WS,-0.026485114899316653,-0.027533718632561547,cell_count,False
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,jpeg,cts,floorplan,moderate,6,M,-0.16388580591707155,-0.11110511282012556,tns_ns,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,jpeg,finish,floorplan,strong,7,S,-0.3351769831728908,-0.3019532223563573,utilization_pct,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,jpeg,floorplan,floorplan,insensitive,4,I,0.04688164215381543,0.0546987346033387,core_area_um2,False
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,jpeg,place,floorplan,moderate,6,M,-0.22771518764137022,-0.1979931904816839,fmax_mhz,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,jpeg,route,floorplan,strong,7,S,-0.3351769831728908,-0.3019532223563573,utilization_pct,True
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,jpeg,synth,floorplan,wrong_stage,0,WS,-0.08485289437466312,-0.07374821375404997,seq_area_pct,False
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,aes,cts,floorplan,moderate,6,M,0.23970340118544245,0.2663630115140749,core_area_um2,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,aes,finish,floorplan,moderate,6,M,-0.22673833000991672,-0.2012234003606922,drc_violations,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,aes,floorplan,floorplan,moderate,6,M,-0.2455170576388465,-0.26503515030379016,utilization_pct,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,aes,place,floorplan,moderate,6,M,-0.252913676701093,-0.3042270082326012,fmax_mhz,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,aes,route,floorplan,moderate,6,M,0.23970340118544245,0.2663630115140749,core_area_um2,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,aes,synth,floorplan,wrong_stage,0,WS,-0.13547864608724106,-0.1033617832851528,cell_count,False
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,gcd,cts,floorplan,moderate,6,M,-0.17764681609575372,-0.08132986646310471,fmax_mhz,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,gcd,finish,floorplan,strong,7,S,-0.33427402110197685,-0.25684988303760403,fmax_mhz,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,gcd,floorplan,floorplan,weak,5,W,-0.11986131622475503,-0.1591750367763405,power_total_w,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,gcd,place,floorplan,insensitive,4,I,-0.0741168216719324,-0.045779500607883036,fmax_mhz,False
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,gcd,route,floorplan,moderate,6,M,-0.29572636615967945,-0.3106460309597549,utilization_pct,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,gcd,synth,floorplan,wrong_stage,0,WS,-0.014494082628566942,-0.015229209501856578,cell_count,False
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,jpeg,cts,floorplan,moderate,6,M,-0.1853920284302105,-0.07326245240606112,tns_ns,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,jpeg,finish,floorplan,moderate,6,M,-0.2512111253946955,-0.26390959901921446,wns_ns,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,jpeg,floorplan,floorplan,weak,5,W,0.09804792079626688,0.11248817045248144,core_area_um2,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,jpeg,place,floorplan,moderate,6,M,-0.17426344714062955,-0.13076078233769586,tns_ns,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,jpeg,route,floorplan,moderate,6,M,-0.22028504606142185,-0.2349139269263122,tns_ns,True
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,jpeg,synth,floorplan,wrong_stage,0,WS,-0.03538097469873531,-0.033677188389168486,seq_area_pct,False
CLUSTER_FLOPS,aes,cts,route,wrong_stage,0,WS,,,wns_ns,False
CLUSTER_FLOPS,aes,finish,route,param_flat,3,PF,,,wns_ns,False
CLUSTER_FLOPS,aes,floorplan,route,wrong_stage,0,WS,,,wns_ns,False
CLUSTER_FLOPS,aes,place,route,wrong_stage,0,WS,,,wns_ns,False
CLUSTER_FLOPS,aes,route,route,param_flat,3,PF,,,wns_ns,False
CLUSTER_FLOPS,aes,synth,route,wrong_stage,0,WS,,,cell_count,False
CLUSTER_FLOPS,gcd,cts,route,wrong_stage,0,WS,,,wns_ns,False
CLUSTER_FLOPS,gcd,finish,route,param_flat,3,PF,,,wns_ns,False
