param,knob_first_stage,aes@synth,aes@floorplan,aes@place,aes@cts,aes@route,aes@finish,gcd@synth,gcd@floorplan,gcd@place,gcd@cts,gcd@route,gcd@finish,jpeg@synth,jpeg@floorplan,jpeg@place,jpeg@cts,jpeg@route,jpeg@finish,stages_with_signal,n_design_stage_hits
ABC_AREA,synth,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,,0
CELL_PAD_IN_SITES_DETAIL_PLACEMENT,floorplan,WS,M,S,M,M,M,WS,W,W,W,S,S,WS,I,M,M,S,S,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@place,gcd@route,jpeg@cts,jpeg@finish,jpeg@place,jpeg@route",14
CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,floorplan,WS,M,M,M,M,M,WS,W,I,M,M,S,WS,W,M,M,M,M,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
CLUSTER_FLOPS,route,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,,0
CORE_ASPECT_RATIO,floorplan,WS,M,W,M,S,S,WS,M,I,M,M,S,WS,M,M,M,S,S,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
CORE_MARGIN,floorplan,WS,S,S,S,S,S,WS,M,I,W,S,S,WS,M,M,M,S,S,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
CORE_UTILIZATION,floorplan,WS,S,S,S,S,S,WS,S,S,S,S,S,WS,S,S,S,S,S,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@place,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",15
CORNERS,synth,—,—,—,—,—,—,NN,NN,NN,NN,NN,NN,—,—,—,—,—,—,,0
CTS_CLUSTER_DIAMETER,cts,WS,WS,WS,M,S,S,WS,WS,WS,I,W,M,WS,WS,WS,M,M,S,"aes@cts,aes@finish,aes@route,gcd@finish,gcd@route,jpeg@cts,jpeg@finish,jpeg@route",8
CTS_CLUSTER_SIZE,cts,WS,WS,WS,M,S,S,WS,WS,WS,W,M,M,WS,WS,WS,M,W,M,"aes@cts,aes@finish,aes@route,gcd@cts,gcd@finish,gcd@route,jpeg@cts,jpeg@finish,jpeg@route",9
DETAILED_ROUTE_END_ITERATION,route,WS,WS,WS,WS,S,S,WS,WS,WS,WS,W,W,WS,WS,WS,WS,S,S,"aes@finish,aes@route,gcd@finish,gcd@route,jpeg@finish,jpeg@route",6
DONT_BUFFER_PORTS,floorplan,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,,0
ENABLE_DPO,place,WS,WS,PF,PF,PF,PF,WS,WS,PF,PF,PF,PF,WS,WS,PF,PF,PF,PF,,0
FASTROUTE_TCL,floorplan,WS,NN,NN,NN,NN,NN,WS,NN,NN,NN,NN,NN,WS,NN,NN,NN,NN,NN,,0
GLOBAL_ROUTE_ARGS,route,WS,WS,WS,WS,NN,NN,WS,WS,WS,WS,NN,NN,WS,WS,WS,WS,NN,NN,,0
GPL_ROUTABILITY_DRIVEN,place,WS,WS,PF,PF,PF,PF,WS,WS,PF,PF,PF,PF,WS,WS,PF,PF,PF,PF,,0
GPL_TIMING_DRIVEN,place,WS,WS,PF,PF,PF,PF,WS,WS,PF,PF,PF,PF,WS,WS,PF,PF,PF,PF,,0
HOLD_SLACK_MARGIN,floorplan,WS,M,S,M,M,S,WS,I,M,M,S,S,WS,M,W,W,S,M,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@place,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
IO_PLACER_H,floorplan,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,,0
IO_PLACER_V,floorplan,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,,0
MATCH_CELL_FOOTPRINT,route,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,,0
MAX_REPAIR_TIMING_ITER,place,—,—,—,—,—,—,WS,WS,I,I,W,M,—,—,—,—,—,—,"gcd@finish,gcd@route",2
MAX_ROUTING_LAYER,route,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,,0
MIN_ROUTING_LAYER,route,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,WS,WS,WS,WS,PF,PF,,0
OPENROAD_HIERARCHICAL,synth,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,,0
PLACE_DENSITY,floorplan,WS,S,S,S,S,S,WS,I,W,W,M,M,WS,M,M,M,S,S,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@place,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
PLACE_DENSITY_LB_ADDON,floorplan,WS,M,S,S,S,S,WS,S,S,S,S,W,WS,I,I,W,W,W,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@place,gcd@route,jpeg@cts,jpeg@finish,jpeg@route",13
PLACE_PINS_ARGS,place,WS,WS,NN,NN,NN,NN,WS,WS,NN,NN,NN,NN,WS,WS,NN,NN,NN,NN,,0
REMOVE_ABC_BUFFERS,floorplan,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,WS,PF,PF,PF,PF,PF,,0
ROUTING_LAYER_ADJUSTMENT,floorplan,WS,W,M,M,W,S,WS,W,I,W,W,S,WS,M,M,M,S,S,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
SETUP_SLACK_MARGIN,floorplan,WS,M,S,M,M,S,WS,W,I,W,M,S,WS,M,W,M,M,M,"aes@cts,aes@finish,aes@floorplan,aes@place,aes@route,gcd@cts,gcd@finish,gcd@floorplan,gcd@route,jpeg@cts,jpeg@finish,jpeg@floorplan,jpeg@place,jpeg@route",14
SKIP_GATE_CLONING,place,—,—,—,—,—,—,WS,WS,PF,PF,PF,PF,—,—,—,—,—,—,,0
SKIP_PIN_SWAP,place,—,—,—,—,—,—,WS,WS,PF,PF,PF,PF,—,—,—,—,—,—,,0
SKIP_VT_SWAP,place,—,—,—,—,—,—,WS,WS,PF,PF,PF,PF,—,—,—,—,—,—,,0
SWAP_ARITH_OPERATORS,synth,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,—,—,—,—,—,—,,0
