design,stage,metric,param,knob_first_stage,gate1_reaches_stage,gate2_verdict,n,param_nunique,metric_nunique,metric_cv_pct,spearman_rho,pearson_r
aes,synth,cell_count,ABC_AREA,synth,1,param_flat,1514,2,2,0.5429176244098818,,
aes,synth,cell_count,CELL_PAD_IN_SITES_DETAIL_PLACEMENT,floorplan,0,wrong_stage,1411,5,2,0.5285684122973626,-0.16773080155935002,-0.14182956463416274
aes,synth,cell_count,CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,floorplan,0,wrong_stage,1490,5,2,0.5424983320632036,-0.13547864608724106,-0.1033617832851528
aes,synth,cell_count,CLUSTER_FLOPS,route,0,wrong_stage,1295,2,2,0.5211259156032864,,
aes,synth,cell_count,CORE_ASPECT_RATIO,floorplan,0,wrong_stage,1540,211,2,0.5468742085118933,-0.19616572709049343,-0.1341209197240099
aes,synth,cell_count,CORE_MARGIN,floorplan,0,wrong_stage,1540,21,2,0.5468742085118933,0.11943461334605866,0.10774202031583892
aes,synth,cell_count,CORE_UTILIZATION,floorplan,0,wrong_stage,1540,61,2,0.5468742085118933,0.23057079562321559,0.21408061963836994
aes,synth,cell_count,CTS_CLUSTER_DIAMETER,cts,0,wrong_stage,1540,423,2,0.5468742085118933,0.281493915525307,0.279971125557092
aes,synth,cell_count,CTS_CLUSTER_SIZE,cts,0,wrong_stage,1540,41,2,0.5468742085118933,0.20696680194066783,0.19621103896574799
aes,synth,cell_count,DETAILED_ROUTE_END_ITERATION,route,0,wrong_stage,1414,176,2,0.5428447607847808,0.10541961033180233,0.13503456757474516
aes,synth,cell_count,DONT_BUFFER_PORTS,floorplan,0,wrong_stage,1197,2,2,0.5277717462921951,,
aes,synth,cell_count,ENABLE_DPO,place,0,wrong_stage,1474,2,2,0.539220549186878,,
aes,synth,cell_count,FASTROUTE_TCL,floorplan,0,wrong_stage,0,0,0,,,
aes,synth,cell_count,GLOBAL_ROUTE_ARGS,route,0,wrong_stage,0,0,0,,,
aes,synth,cell_count,GPL_ROUTABILITY_DRIVEN,place,0,wrong_stage,1499,2,2,0.5427200916822165,,
aes,synth,cell_count,GPL_TIMING_DRIVEN,place,0,wrong_stage,1489,2,2,0.5413088247687485,,
aes,synth,cell_count,HOLD_SLACK_MARGIN,floorplan,0,wrong_stage,1169,267,2,0.5300465397990433,-0.24807933748241315,-0.2030298044956159
aes,synth,cell_count,IO_PLACER_H,floorplan,0,wrong_stage,0,0,0,,,
aes,synth,cell_count,IO_PLACER_V,floorplan,0,wrong_stage,0,0,0,,,
aes,synth,cell_count,MATCH_CELL_FOOTPRINT,route,0,wrong_stage,1294,2,2,0.5212435279733179,,
aes,synth,cell_count,MAX_ROUTING_LAYER,route,0,wrong_stage,0,0,0,,,
aes,synth,cell_count,MIN_ROUTING_LAYER,route,0,wrong_stage,0,0,0,,,
aes,synth,cell_count,OPENROAD_HIERARCHICAL,synth,1,param_flat,1540,2,2,0.5468742085118933,,
aes,synth,cell_count,PLACE_DENSITY,floorplan,0,wrong_stage,1324,328,2,0.519711013885644,0.2383155516369855,0.2421997763307148
