stage,n_total_knobs,n_keep_weak_plus,n_exclude,rank,param,max_pearson_r,abs_max_pearson_r,best_design,best_metric,best_verdict
synth,37,0,37,,,,,,,
floorplan,37,11,26,1.0,CORE_UTILIZATION,0.999112075428188,0.999112075428188,aes,utilization_pct,strong
floorplan,37,11,26,2.0,PLACE_DENSITY_LB_ADDON,-0.4142534231455557,0.4142534231455557,gcd,utilization_pct,strong
floorplan,37,11,26,3.0,CORE_MARGIN,0.3378181376095239,0.3378181376095239,aes,fmax_mhz,strong
floorplan,37,11,26,4.0,HOLD_SLACK_MARGIN,-0.3283464798198396,0.3283464798198396,aes,utilization_pct,moderate
floorplan,37,11,26,5.0,PLACE_DENSITY,0.3270904749729094,0.3270904749729094,aes,utilization_pct,strong
floorplan,37,11,26,6.0,TNS_END_PERCENT,-0.3160722072022416,0.3160722072022416,aes,fmax_mhz,strong
floorplan,37,11,26,7.0,CORE_ASPECT_RATIO,-0.30946143270078924,0.30946143270078924,jpeg,utilization_pct,moderate
floorplan,37,11,26,8.0,SETUP_SLACK_MARGIN,-0.30334221670991224,0.30334221670991224,aes,utilization_pct,moderate
floorplan,37,11,26,9.0,CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,-0.26503515030379016,0.26503515030379016,aes,utilization_pct,moderate
floorplan,37,11,26,10.0,CELL_PAD_IN_SITES_DETAIL_PLACEMENT,-0.24206855325940502,0.24206855325940502,aes,utilization_pct,moderate
floorplan,37,11,26,11.0,ROUTING_LAYER_ADJUSTMENT,-0.1891971314960007,0.1891971314960007,jpeg,power_total_w,moderate
place,37,11,26,1.0,CORE_UTILIZATION,-0.9276041673986016,0.9276041673986016,aes,core_area_um2,strong
place,37,11,26,2.0,CELL_PAD_IN_SITES_DETAIL_PLACEMENT,-0.3971320601231809,0.3971320601231809,aes,fmax_mhz,strong
place,37,11,26,3.0,SETUP_SLACK_MARGIN,-0.3652251263630661,0.3652251263630661,aes,tns_ns,strong
place,37,11,26,4.0,PLACE_DENSITY_LB_ADDON,0.36123127707066804,0.36123127707066804,gcd,core_area_um2,strong
place,37,11,26,5.0,HOLD_SLACK_MARGIN,-0.35025387448433315,0.35025387448433315,aes,tns_ns,strong
place,37,11,26,6.0,CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,-0.3042270082326012,0.3042270082326012,aes,fmax_mhz,moderate
place,37,11,26,7.0,CORE_ASPECT_RATIO,0.2990941009198921,0.2990941009198921,jpeg,core_area_um2,moderate
place,37,11,26,8.0,PLACE_DENSITY,-0.27325447574341843,0.27325447574341843,aes,core_area_um2,strong
place,37,11,26,9.0,TNS_END_PERCENT,0.2690778139264836,0.2690778139264836,gcd,tns_ns,strong
place,37,11,26,10.0,CORE_MARGIN,0.2585791165740857,0.2585791165740857,jpeg,core_area_um2,moderate
place,37,11,26,11.0,ROUTING_LAYER_ADJUSTMENT,0.20516376639825218,0.20516376639825218,jpeg,core_area_um2,moderate
cts,37,13,24,1.0,CORE_UTILIZATION,-0.9276041673986016,0.9276041673986016,aes,core_area_um2,strong
cts,37,13,24,2.0,CORE_MARGIN,0.45868864484492217,0.45868864484492217,aes,fmax_mhz,strong
cts,37,13,24,3.0,PLACE_DENSITY_LB_ADDON,0.4018415439376026,0.4018415439376026,aes,fmax_mhz,strong
cts,37,13,24,4.0,TNS_END_PERCENT,-0.4011788326358327,0.4011788326358327,aes,fmax_mhz,strong
cts,37,13,24,5.0,HOLD_SLACK_MARGIN,0.3363049747855111,0.3363049747855111,aes,core_area_um2,moderate
cts,37,13,24,6.0,SETUP_SLACK_MARGIN,0.30922195794942425,0.30922195794942425,aes,core_area_um2,moderate
cts,37,13,24,7.0,CORE_ASPECT_RATIO,0.2990941009198921,0.2990941009198921,jpeg,core_area_um2,moderate
cts,37,13,24,8.0,CTS_CLUSTER_DIAMETER,0.29284152376675066,0.29284152376675066,aes,fmax_mhz,moderate
cts,37,13,24,9.0,CTS_CLUSTER_SIZE,0.285568733269494,0.285568733269494,aes,fmax_mhz,moderate
cts,37,13,24,10.0,PLACE_DENSITY,-0.27325447574341843,0.27325447574341843,aes,core_area_um2,strong
cts,37,13,24,11.0,CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,0.2663630115140749,0.2663630115140749,aes,core_area_um2,moderate
cts,37,13,24,12.0,CELL_PAD_IN_SITES_DETAIL_PLACEMENT,0.24930842840555678,0.24930842840555678,aes,core_area_um2,moderate
cts,37,13,24,13.0,ROUTING_LAYER_ADJUSTMENT,0.20516376639825218,0.20516376639825218,jpeg,core_area_um2,moderate
route,37,15,22,1.0,CORE_UTILIZATION,0.9930254298417382,0.9930254298417382,jpeg,utilization_pct,strong
route,37,15,22,2.0,CORE_ASPECT_RATIO,-0.6753470450822745,0.6753470450822745,jpeg,utilization_pct,strong
route,37,15,22,3.0,CORE_MARGIN,0.5778157768909814,0.5778157768909814,aes,fmax_mhz,strong
route,37,15,22,4.0,CELL_PAD_IN_SITES_DETAIL_PLACEMENT,-0.5335609854573014,0.5335609854573014,gcd,utilization_pct,strong
route,37,15,22,5.0,TNS_END_PERCENT,-0.522856764720085,0.522856764720085,aes,fmax_mhz,strong
route,37,15,22,6.0,CTS_CLUSTER_SIZE,0.5178560808870611,0.5178560808870611,aes,utilization_pct,strong
route,37,15,22,7.0,CTS_CLUSTER_DIAMETER,0.5147684498680452,0.5147684498680452,aes,utilization_pct,strong
route,37,15,22,8.0,PLACE_DENSITY_LB_ADDON,-0.4553740101321778,0.4553740101321778,aes,utilization_pct,strong
route,37,15,22,9.0,PLACE_DENSITY,0.4468274386257523,0.4468274386257523,jpeg,utilization_pct,strong
route,37,15,22,10.0,HOLD_SLACK_MARGIN,0.3363049747855111,0.3363049747855111,aes,core_area_um2,moderate
route,37,15,22,11.0,ROUTING_LAYER_ADJUSTMENT,-0.3299575235252435,0.3299575235252435,jpeg,utilization_pct,strong
route,37,15,22,12.0,CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,-0.3106460309597549,0.3106460309597549,gcd,utilization_pct,moderate
route,37,15,22,13.0,SETUP_SLACK_MARGIN,0.30922195794942425,0.30922195794942425,aes,core_area_um2,moderate
route,37,15,22,14.0,DETAILED_ROUTE_END_ITERATION,0.308360571391753,0.308360571391753,aes,utilization_pct,strong
route,37,15,22,15.0,MAX_REPAIR_TIMING_ITER,-0.16314212641185494,0.16314212641185494,gcd,utilization_pct,weak
finish,37,15,22,1.0,CORE_UTILIZATION,0.9930254298417382,0.9930254298417382,jpeg,utilization_pct,strong
finish,37,15,22,2.0,CORE_ASPECT_RATIO,-0.6753470450822745,0.6753470450822745,jpeg,utilization_pct,strong
finish,37,15,22,3.0,PLACE_DENSITY,0.6372013850868935,0.6372013850868935,aes,fmax_mhz,strong
finish,37,15,22,4.0,CORE_MARGIN,0.5899340957969429,0.5899340957969429,aes,fmax_mhz,strong
finish,37,15,22,5.0,CELL_PAD_IN_SITES_DETAIL_PLACEMENT,-0.5249968743216644,0.5249968743216644,gcd,utilization_pct,strong
finish,37,15,22,6.0,CTS_CLUSTER_SIZE,0.5178560808870611,0.5178560808870611,aes,utilization_pct,strong
finish,37,15,22,7.0,CTS_CLUSTER_DIAMETER,0.5147684498680452,0.5147684498680452,aes,utilization_pct,strong
finish,37,15,22,8.0,PLACE_DENSITY_LB_ADDON,-0.4553740101321778,0.4553740101321778,aes,utilization_pct,strong
finish,37,15,22,9.0,HOLD_SLACK_MARGIN,-0.4170818187279558,0.4170818187279558,gcd,tns_ns,strong
finish,37,15,22,10.0,SETUP_SLACK_MARGIN,-0.40231098136619314,0.40231098136619314,aes,drc_violations,strong
finish,37,15,22,11.0,TNS_END_PERCENT,0.38991723979436954,0.38991723979436954,gcd,utilization_pct,strong
finish,37,15,22,12.0,DETAILED_ROUTE_END_ITERATION,-0.3310790853883018,0.3310790853883018,aes,power_total_w,strong
finish,37,15,22,13.0,ROUTING_LAYER_ADJUSTMENT,-0.3299575235252435,0.3299575235252435,jpeg,utilization_pct,strong
finish,37,15,22,14.0,CELL_PAD_IN_SITES_GLOBAL_PLACEMENT,-0.26390959901921446,0.26390959901921446,jpeg,wns_ns,moderate
finish,37,15,22,15.0,MAX_REPAIR_TIMING_ITER,-0.03150718548323001,0.03150718548323001,gcd,drc_violations,moderate
